"","ano","municipio","populacao","homicidio","gastos_educacao","renda_setor_formal","gastos_seguranca_publica"
"1",2017,"Pequi",4351,45.96,677.98,1488.53,5.3
"2",2017,"Padre Paraíso",19976,35.04,424.04,1343.14,0.75
"3",2017,"Cristália",5982,16.72,686.18,1528.97,7.7
"4",2017,"Divisópolis",10442,19.15,543.77,1670.2,2.45
"5",2017,"Buritis",24442,12.27,950.15,1955.16,9.42
"6",2017,"Itabirito",50309,19.88,1052.63,2397.15,3.63
"7",2017,"Santana do paraíso",32500,24.62,352.21,1822.73,6.28
"8",2017,"Cláudio",28005,10.71,561.84,1654.18,4.22
"9",2017,"Martinho Campos",13302,7.52,603.94,1614.15,1.04
"10",2017,"Ladainha",17971,16.69,512.4,1423.74,1.91
"11",2017,"Umburatiba",2682,74.57,1009,1448.19,15.73
"12",2017,"São José da Safira",4260,23.47,795.91,1519.27,8.47
"13",2017,"Ipaba",18192,21.99,370.79,1388.32,11.97
"14",2017,"Campos Altos",15233,26.26,369.26,1666.27,7.84
"15",2017,"Maxacalis",7165,27.91,389.94,1521.6,2.77
"16",2017,"Aguanil",4396,45.5,859.74,1572.91,13.01
"17",2017,"Machado",41501,14.46,457.32,1770.11,5.13
"18",2017,"Pedro Leopoldo",63200,26.9,512.47,2163.28,14.12
"19",2017,"Alvorada de Minas",3636,55,1150.83,1531.22,13.72
"20",2017,"Divino",19932,40.14,397.66,1527.86,5.24
"21",2017,"Frei Inocêncio",9501,31.57,395.79,1312.32,2.02
"22",2017,"Varginha",133022,3.01,463.17,2094.48,34.59
"23",2017,"Moema",7450,13.42,543.9,1496.59,13.35
"24",2017,"Nova Belém",3430,58.3,782.66,1393.65,5.75
"25",2017,"Monte Carmelo",47766,14.65,369.2,1647.87,4.9
"26",2017,"Matias Barbosa",14305,6.99,596.05,2016.18,0.4
"27",2017,"São José da Varginha",4786,20.9,743.23,1490.05,5.1
"28",2017,"Materlândia",4573,43.74,734.8,1509.09,2.6
"29",2017,"Varzelândia",19526,5.12,562.87,1513.29,0.15
"30",2017,"Caetanópolis",11285,26.58,468.03,1504.69,8.44
"31",2017,"Córrego Novo",2940,68.02,774.21,1342.49,3.47
"32",2017,"Perdizes",15766,6.34,769.97,2010.04,12.5
"33",2017,"Sacramento",25738,11.66,831.64,1815.62,7.16
"34",2017,"Mata Verde",8454,47.32,641.9,1493.26,2.77
"35",2017,"Abre Campo",13596,7.36,414.67,1385.94,5.27
"36",2017,"Mamonas",6558,15.25,508.61,1424.72,0.91
"37",2017,"Itacarambi",18259,21.91,811.56,1622.83,0.01
"38",2017,"São Francisco",56238,5.33,475.14,1582.75,1.47
"39",2017,"Extrema",34001,8.82,1266.19,2238.88,48.37
"40",2017,"Arcos",39413,5.07,558.82,1920.02,6.99
"41",2017,"Lajinha",20098,34.83,482.04,1700.53,8.89
"42",2017,"Matozinhos",36971,35.16,507.88,2209.01,5.44
"43",2017,"Elói Mendes",27453,10.93,588.53,1549.15,4.69
"44",2017,"Bom Despacho",49542,10.09,472.66,1693.15,0.65
"45",2017,"Morada Nova de Minas",8772,11.4,838.47,1731.74,19.87
"46",2017,"São Geraldo da Piedade",4172,71.91,776.3,1489.09,7.04
"47",2017,"Brasília de Minas",32405,12.34,391.43,1586.04,1.13
"48",2017,"Matipó",18725,21.36,402.8,1468.06,7.15
"49",2017,"Dores do Indaiá",13784,14.51,614.91,1511.07,2.55
"50",2017,"Carmo do Rio Claro",21244,4.71,503.13,1512.79,1.01
"51",2017,"São José do Alegre",4186,23.89,641.28,1754.46,12.58
"52",2017,"Santo Antônio do Monte",27834,10.78,387.2,1510.11,8.08
"53",2017,"Bocaiúva",49667,12.08,409.38,1542.09,0.65
"54",2017,"Itapecerica",21937,4.56,285.9,1738.1,19.05
"55",2017,"Manhumirim",22557,13.3,441.6,1542.5,3.39
"56",2017,"Vespasiano",121143,27.24,571.63,2475.52,0.04
"57",2017,"Mirabela",13589,7.36,524.41,1323.46,1.03
"58",2017,"Pouso Alto",6123,16.33,602.44,1771.39,0.75
"59",2017,"Rio Pardo de Minas",30706,3.26,539.65,1445.51,30.9
"60",2017,"Ubá",112168,18.72,386.32,1710.63,1.1
"61",2017,"Pavão",8622,23.2,318.27,1432.32,3.91
"62",2017,"Açucena",9897,30.31,502.54,1359.75,5.54
"63",2017,"Patrocínio",89084,23.57,348.15,1858.28,0.82
"64",2017,"Pedra Bonita",7046,14.19,737.08,1368.23,4.05
"65",2017,"Ponto dos Volantes",12017,24.96,857.48,1269.76,7.92
"66",2017,"Caputira",9337,21.42,502.2,1244.44,1.66
"67",2017,"Visconde do Rio Branco",41513,21.68,539.71,1654.45,4.06
"68",2017,"Franciscópolis",5615,17.81,715.92,2045.49,3.41
"69",2017,"Conselheiro Pena",23008,17.39,497.13,1897.33,4.06
"70",2017,"Lima Duarte",16741,11.95,372.29,1333.64,4.96
"71",2017,"Ituiutaba",103482,7.73,455.92,1936.19,5.28
"72",2017,"São João do Oriente",7741,25.84,430.63,1580.16,5.71
"73",2017,"São Félix de Minas",3423,29.21,843.04,1231.94,2.88
"74",2017,"Santo Antônio do Jacinto",11857,16.87,530.34,1374.11,3.4
"75",2017,"Araçuaí",36988,27.04,333.22,1596.04,2.71
"76",2017,"Capim Branco",9581,31.31,483.97,1387.58,0.8
"77",2017,"Sabará",134610,34.92,512.57,2280.25,0.07
"78",2017,"Medina",21195,89.64,420.56,1653.17,4.12
"79",2017,"Florestal",7270,13.76,622.6,1552.18,7.41
"80",2017,"Monte Alegre de Minas",20884,28.73,554.82,1680.58,2.73
"81",2017,"Igarapé",40716,31.93,483.85,1777.92,0.81
"82",2017,"Coromandel",28223,21.26,530.45,1741.82,5.47
"83",2017,"Três Corações",78210,15.34,385.67,1824.27,2.1
"84",2017,"Serro",21221,4.71,414.04,1532.35,2.05
"85",2017,"Brumadinho",38475,28.59,992.95,2217.71,0.48
"86",2017,"Francisco Dumont",5163,38.74,682.26,1257.29,5.96
"87",2017,"Baldim",7971,25.09,557.89,1705.42,13.33
"88",2017,"Buenópolis",10488,28.6,467.67,1469.81,5.53
"89",2017,"São João Evangelista",15922,18.84,536.3,1355.72,2.8
"90",2017,"Cipotânea",6799,14.71,352.45,1404.41,3.74
"91",2017,"Ouro Verde de Minas",6049,49.59,501.04,1613.34,1.3
"92",2017,"Dores de Campos",9992,20.02,446.62,1613.98,4.7
"93",2017,"Entre Folhas",5389,18.56,591.53,1422.59,2.55
"94",2017,"Pingo D' Água",4824,20.73,595,1124.49,2.64
"95",2017,"São Pedro dos Ferros",8099,12.35,365.96,1493.12,12.28
"96",2017,"Santa Bárbara do Leste",8098,24.7,747.16,1437.84,0.81
"97",2017,"Cana Verde",5678,17.61,604.25,1457.63,2.63
"98",2017,"São João do Manhuaçu",11254,26.66,621.25,1477.14,3.15
"99",2017,"Patrocínio do Muriaé",5623,17.78,378.32,1540.96,4.57
"100",2017,"Guaxupé",51772,7.73,464.31,2035.71,9.6
"101",2017,"Capelinha",37489,10.67,437.63,1509.13,1.77
"102",2017,"Almenara",41377,16.92,528.4,1584.08,1.15
"103",2017,"Luislândia",6689,14.95,579.46,1483.41,0.37
"104",2017,"Pedra Azul",24501,16.33,557.78,1592.68,3.33
"105",2017,"Corinto",24141,4.14,612.14,1519.69,3.21
"106",2017,"Miravânia",4836,41.35,746.83,1400.36,3.05
"107",2017,"Buritizeiro",28052,21.39,537.17,1588.07,2.97
"108",2017,"Barão do Monte Alto",5592,35.77,847.63,1306.91,7.62
"109",2017,"Conselheiro Lafaiete",126097,10.31,480.52,1753.61,7.96
"110",2017,"Capitão Andrade",5351,18.69,621.58,1430.84,4.12
"111",2017,"Barbacena",135324,1.48,334.44,2065.04,42.32
"112",2017,"Sete Lagoas",233867,17.53,421.98,2123.01,13.65
"113",2017,"Juatuba",25616,58.56,1196.49,2351.06,8.15
"114",2017,"Além Paraíba",35508,5.63,401.93,1676.66,5.32
"115",2017,"São Tomás de Aquino",7150,13.99,757.68,1664.16,4.99
"116",2017,"Carmópolis de Minas",18805,10.64,516.72,1617.76,3.17
"117",2017,"Palmópolis",6100,49.18,460.62,1466.92,3.39
"118",2017,"Brasilândia de Minas",15944,87.81,573.64,1839.95,6.43
"119",2017,"Guaranésia",19185,5.21,459.81,1906.76,6.75
"120",2017,"Naque",6861,14.58,633.63,1345.29,2.26
"121",2017,"Campos Gerais",28767,6.95,407.29,1478.38,3.61
"122",2017,"Novo Cruzeiro",31566,15.84,576.36,1459.28,1.37
"123",2017,"Patos de Minas",149386,11.38,385.37,2100.41,7.23
"124",2017,"Bela Vista de Minas",10312,9.7,588.15,2042.58,8.76
"125",2017,"Taquaraçu de Minas",4034,74.36,955.3,1581.75,10.35
"126",2017,"São José do Divino",3907,25.6,665.86,1451.54,6.26
"127",2017,"Capitão Enéas",15085,19.89,484.45,1505.84,21.93
"128",2017,"Cordisburgo",8939,11.19,346.21,1494.05,9.35
"129",2017,"Santana do Riacho",4258,23.48,838.09,1429.21,27.5
"130",2017,"Nacip Raydan",3241,30.85,470.24,1575.95,7.17
"131",2017,"Santa Maria do Suaçuí",14747,54.25,487.8,1363.53,4.32
"132",2017,"Coluna",9055,33.13,409.4,1308.78,4.52
"133",2017,"Jaboticatubas",19350,25.84,533.87,1646.06,7.23
"134",2017,"Turmalina",19565,10.22,587.22,1659.1,11.39
"135",2017,"Camanducaia",21837,4.58,776.62,1795.59,11.47
"136",2017,"Tombos",8684,11.51,661.71,1392.12,6.19
"137",2017,"Jaíba",37560,42.6,410.87,1400.45,2.53
"138",2017,"Astolfo Dutra",13977,7.15,382.24,1305.69,4.64
"139",2017,"Campestre",21226,9.42,629.3,1585.26,3.68
"140",2017,"Tiros",6727,44.6,635.36,1915.81,6.83
"141",2017,"Carmo do Paranaíba",30553,9.82,538.52,1880.05,1.43
"142",2017,"Alvarenga",4157,48.11,527.26,1274.73,7.25
"143",2017,"Cássia",17877,11.19,516.15,1725.93,5.15
"144",2017,"Ferros",10328,29.05,445.39,1509.74,7.61
"145",2017,"Poté",16475,24.28,515.2,1624.2,4.32
"146",2017,"Ibituruna",2988,33.47,884.84,1505.64,11.77
"147",2017,"Uruana de Minas",3305,60.52,1202.06,1547.02,22.23
"148",2017,"Malacacheta",18966,15.82,412.32,1478.76,5.64
"149",2017,"São João Batista do Glória",7357,13.59,735.45,1512.07,12.28
"150",2017,"Abadia dos Dourados",6989,42.93,769.58,1589.51,3.81
"151",2017,"Itabira",118093,18.63,600.84,2164.78,7.11
"152",2017,"Claraval",4799,20.84,939.86,1703.85,9.15
"153",2017,"Sericita",7360,81.52,654.26,1199.79,3.21
"154",2017,"Santa Rita do Itueto",5642,35.45,547.75,1423.28,2.34
"155",2017,"São João do Manteninha",5702,105.24,520.77,1371.71,1.71
"156",2017,"Jacinto",12436,24.12,461.79,1462.27,4.49
"157",2017,"Piracema",6500,15.38,627.03,1497.8,10.24
"158",2017,"Itaipé",12598,63.5,732.51,1510.66,5.26
"159",2017,"Paula Cândido",9601,31.25,487.29,1247.45,4.91
