ano,municipio,populacao,homicidio,gastos_educacao,renda_setor_formal,gastos_seguranca_publica
2002,1,6436,15.38,219.25,436.4,0.0
2003,1,6432,0.0,208.29,459.91,0.0
2004,1,6422,15.26,201.94,452.86,0.0
2005,1,6417,15.2,219.95,627.95,0.0
2006,1,6412,30.28,286.37,640.29,0.0
2007,1,6565,0.0,278.19,637.4,0.0
2008,1,6777,15.02,298.16,653.4,0.0
2009,1,6805,29.94,306.9,691.93,0.0
2010,1,6704,0.0,385.83,724.15,0.0
2011,1,6724,0.0,411.41,814.3,0.0
2012,1,6743,0.0,512.29,944.72,0.0
2013,1,6892,0.0,498.05,1062.1,0.0
2014,1,6913,14.92,639.7,1371.68,1.44
2015,1,6941,0.0,718.52,1340.75,2.06
2016,1,6964,0.0,932.09,1388.14,3.28
2017,1,6989,42.93,769.58,1589.51,3.81
2002,2,22712,4.46,94.01,701.86,0.27
2003,2,22875,13.35,102.76,703.97,0.32
2004,2,23217,8.88,127.02,702.28,0.38
2005,2,23407,13.31,138.95,742.54,0.32
2006,2,23595,22.15,176.63,789.56,0.23
2007,2,22448,22.12,194.94,810.07,0.13
2008,2,23193,17.67,249.87,847.84,0.39
2009,2,23258,26.47,284.21,887.27,0.0
2010,2,22700,8.81,322.27,932.0,0.35
2011,2,22715,0.0,300.87,956.45,0.66
2012,2,22740,13.03,327.21,1026.07,1.31
2013,2,23198,13.22,375.09,1149.18,2.14
2014,2,23224,17.63,419.22,1235.92,2.81
2015,2,23287,12.88,491.79,1386.48,1.95
2016,2,23330,8.57,425.89,1497.24,1.62
2017,2,23375,17.11,425.89,1581.85,1.06
2002,3,13338,14.98,103.01,565.69,0.65
2003,3,13334,7.49,131.89,637.39,1.27
2004,3,13324,7.49,120.71,737.33,1.26
2005,3,13319,7.5,142.66,592.41,2.97
2006,3,13313,0.0,182.58,661.73,4.05
2007,3,12867,0.0,190.18,719.55,4.03
2008,3,13204,0.0,229.78,755.74,6.09
2009,3,13177,15.02,236.82,746.55,5.52
2010,3,13311,15.03,251.78,895.92,7.72
2011,3,13308,7.48,274.45,1113.53,12.86
2012,3,13306,14.85,342.49,907.22,3.34
2013,3,13554,0.0,294.85,1004.11,0.44
2014,3,13551,7.51,450.61,1139.13,2.45
2015,3,13574,14.73,368.07,1215.37,2.96
2016,3,13584,14.72,364.14,1319.16,3.78
2017,3,13596,7.36,414.67,1385.94,5.27
2002,4,3952,0.0,130.14,578.71,0.0
2003,4,3981,25.63,179.6,583.25,0.0
2004,4,4043,0.0,201.94,546.85,0.0
2005,4,4077,0.0,246.38,601.36,2.02
2006,4,4111,25.57,325.65,655.5,0.0
2007,4,4056,0.0,394.36,707.3,0.0
2008,4,4206,25.54,464.29,777.83,0.0
2009,4,4234,25.52,470.56,820.79,0.0
2010,4,3924,25.51,494.69,828.37,8.76
2011,4,3922,0.0,642.5,866.87,7.83
2012,4,3925,25.17,568.13,996.46,7.79
2013,4,4001,25.51,737.23,1097.38,5.11
2014,4,4003,102.04,865.9,1092.2,7.09
2015,4,4013,24.92,726.23,1211.47,7.67
2016,4,4019,0.0,792.18,1283.99,10.72
