ano,municipio,homicidio,gastos_educacao,renda_setor_formal,gastos_seguranca_publica
2014,1,14.92,639.7,1371.68,1.44
2014,2,17.63,419.22,1235.92,2.81
2014,3,7.51,450.61,1139.13,2.45
2014,4,102.04,865.9,1092.2,7.09
2014,5,9.73,418.52,1106.98,4.38
2014,6,32.91,363.73,1048.86,0.78
2014,7,0.0,886.99,1707.08,13.04
2014,8,24.67,748.93,1122.88,10.64
2014,9,37.88,303.51,1295.46,6.02
2014,10,0.0,283.49,1015.48,3.24
2014,11,40.07,334.6,1300.16,65.6
2014,12,0.0,595.31,1271.22,4.13
2014,13,36.91,842.76,1374.54,6.82
2014,15,5.82,342.76,1310.17,4.73
2014,16,5.42,442.83,1914.03,4.15
2014,17,16.46,568.73,1149.74,3.46
2014,18,15.47,414.91,1275.4,5.78
2014,19,27.89,526.08,1137.99,1.63
2014,20,27.04,396.17,1301.52,3.13
2014,21,14.58,517.17,1149.34,3.49
2014,22,0.0,646.54,1207.2,5.09
2014,23,0.0,462.46,1271.15,1.62
2014,24,0.0,372.37,1182.79,1.77
2014,25,22.5,361.41,1069.53,8.33
2014,26,0.0,331.52,1253.49,3.02
2014,27,0.0,2061.25,1462.34,8.96
2014,28,19.79,551.09,1133.06,6.17
2014,30,8.21,399.24,1077.27,0.86
2014,31,0.0,744.58,1191.37,0.01
2014,33,20.91,600.38,1496.49,6.1
2014,34,0.0,566.23,1490.62,6.18
2014,35,89.17,1020.75,1207.25,8.29
2014,36,0.0,421.08,1281.92,8.55
2014,37,24.99,332.77,1279.14,2.86
2014,38,20.04,279.85,1576.36,1.15
2014,40,0.0,339.29,1193.5,5.2
2014,42,0.0,872.2,1399.23,8.65
2014,43,25.37,576.0,1146.28,2.29
2014,44,8.54,393.78,2034.07,28.09
2014,46,5.46,499.9,1627.35,3.85
2014,47,0.0,533.94,1237.59,6.09
2014,50,16.97,654.07,1369.37,3.45
2014,52,55.34,347.29,1218.49,1.96
2014,53,0.0,740.42,1063.33,4.03
2014,55,12.64,487.07,1396.35,3.43
2014,56,4.4,451.74,1462.13,2.15
2014,57,0.0,604.68,1143.12,2.95
2014,58,0.0,665.54,1066.98,4.66
2014,59,7.03,634.0,1787.45,6.51
2014,60,0.0,678.19,996.06,6.61
2014,61,4.75,300.56,1676.75,31.42
2014,62,16.28,457.32,1110.66,4.29
2014,63,10.2,535.94,1958.88,2.22
2014,64,10.0,564.3,1453.93,10.77
2014,66,28.38,570.63,2860.34,40.47
2014,67,38.47,758.8,2134.9,1.89
2014,68,0.0,871.05,1365.7,7.53
2014,69,0.0,504.63,1435.84,2.57
2014,71,0.0,450.23,1140.35,3.75
2014,72,55.81,711.54,2648.51,4.69
2014,73,26.36,582.01,1247.72,2.15
2014,74,7.32,425.05,1073.7,5.4
2014,75,38.02,596.89,1242.56,9.36
2014,76,10.39,415.35,1229.83,2.73
2014,78,21.43,326.06,1254.39,0.5
2014,82,0.0,585.51,1231.78,3.0
2014,83,0.0,327.52,1059.44,2.81
2014,85,0.0,522.18,1232.64,2.05
2014,86,0.0,484.16,1122.65,1.09
2014,87,0.0,664.46,1383.35,9.81
2014,89,0.0,507.53,1253.21,2.63
2014,90,6.7,476.96,1221.0,6.44
2014,92,0.0,577.86,1075.99,4.09
2014,93,14.06,479.87,1437.37,10.11
2014,94,9.61,314.86,1246.04,1.24
2014,95,13.64,680.71,1314.39,2.32
2014,96,0.0,386.24,1183.24,3.33
2014,97,52.98,923.84,2126.69,0.31
2014,99,38.87,470.3,1041.22,6.17
2014,100,50.1,503.68,975.75,5.39
2014,101,39.58,877.69,1553.9,9.08
2014,102,29.72,438.2,1306.34,2.56
2014,103,15.5,911.93,1607.9,11.91
2014,104,0.0,460.12,1160.47,3.79
2014,105,54.73,677.26,1153.21,4.82
2014,107,0.0,625.53,1120.08,0.27
2014,108,0.0,1289.02,1724.22,3.98
2014,109,29.36,411.35,1265.56,4.78
2014,110,7.36,398.47,1466.83,8.45
2014,111,20.13,541.9,1148.39,6.99
2014,114,31.71,772.59,1510.49,7.37
2014,115,18.98,647.4,1496.77,9.65
2014,116,3.78,500.75,1384.93,3.28
2014,117,7.94,495.71,1106.67,1.77
2014,118,0.0,672.52,1044.08,4.36
2014,119,12.96,389.47,1178.78,4.35
2014,120,0.0,513.32,1205.78,3.09
2014,121,10.35,517.22,1311.01,1.82
2014,122,27.14,837.84,1094.95,6.92
2014,123,15.52,340.33,1225.88,4.44
2014,124,26.14,455.61,1157.96,2.75
2014,126,35.2,371.49,1411.81,4.48
2014,127,10.87,368.46,1137.71,3.64
2014,128,0.0,496.37,1251.55,1.9
2014,129,43.22,528.93,1060.96,3.98
2014,130,26.4,458.79,1164.27,2.31
2014,131,13.7,382.31,1169.32,3.02
2014,132,23.84,463.35,1051.24,3.33
2014,133,0.0,547.96,1358.48,3.36
2014,134,0.0,434.33,1308.16,3.14
2014,135,11.49,406.55,1198.21,1.51
2014,136,14.11,490.9,1151.31,0.35
2014,137,22.52,387.81,1102.47,2.77
2014,138,26.16,401.77,1377.95,0.63
2014,139,0.0,463.37,1013.8,3.19
2014,140,7.04,522.47,1173.65,8.74
2014,141,12.22,670.82,1375.17,3.62
2014,142,22.15,458.36,983.59,1.91
2014,143,4.48,439.55,1277.95,2.89
2014,144,0.0,663.08,1224.01,3.64
2014,145,4.28,564.86,1326.36,0.01
2014,146,40.25,284.33,1221.3,3.6
2014,147,15.25,326.14,1296.23,9.6
2014,148,32.79,546.98,1340.97,1.37
2014,149,0.0,527.6,1177.71,6.12
2014,150,29.9,441.17,1202.99,1.98
2014,151,0.0,823.9,1464.81,3.78
2014,152,0.0,662.38,1032.97,4.68
2014,153,27.45,430.35,1413.18,2.26
2014,156,10.09,394.78,1439.75,1.43
2014,157,0.0,528.54,1212.06,2.14
2014,158,5.87,470.92,1292.32,2.24
2014,160,0.0,664.54,1240.51,5.83
2014,164,70.0,982.13,1236.02,7.74
2014,165,5.74,431.82,1310.14,2.57
2014,166,8.6,377.49,1485.3,0.53
2014,167,20.64,1460.46,1690.26,3.72
2014,168,0.0,541.04,1097.38,10.2
2014,169,0.0,812.3,1031.82,5.18
2014,170,19.6,694.78,1074.67,2.6
2014,172,0.0,1317.54,1401.96,10.4
2014,178,9.25,616.42,1407.55,12.49
2014,179,0.0,1124.42,1242.91,10.32
2014,180,0.0,321.44,1189.12,3.04
2014,181,0.0,712.47,1270.08,5.3
2014,182,0.0,390.52,1067.71,3.63
2014,183,31.04,531.42,1324.07,2.8
2014,184,28.35,408.35,1212.94,0.04
2014,185,22.16,403.54,1064.11,1.59
2014,188,10.18,498.72,1161.68,21.17
2014,189,0.0,495.76,1201.16,5.6
2014,190,21.7,603.11,2300.44,4.89
2014,191,0.0,603.72,1225.61,8.92
2014,192,0.0,522.56,1331.17,5.94
2014,193,44.67,694.78,3339.33,16.82
2014,194,0.0,647.82,2138.07,4.63
2014,196,0.0,449.44,1174.61,3.59
2014,197,28.17,602.2,1050.22,3.17
2014,198,67.39,889.04,2861.06,8.18
2014,199,0.0,366.36,1319.94,2.51
2014,200,14.43,918.86,2225.06,52.89
2014,201,0.0,425.39,1145.7,5.76
2014,203,11.16,327.56,1465.72,10.55
2014,204,17.98,413.92,1421.59,4.58
2014,205,0.0,856.51,1606.07,12.09
2014,206,40.43,478.45,1991.32,0.28
2014,207,10.77,432.08,1053.93,1.59
2014,208,23.05,290.91,1234.46,0.15
2014,209,11.54,272.96,1155.74,4.87
2014,210,0.0,927.31,1036.24,3.09
2014,211,12.54,474.13,1160.97,1.95
2014,212,0.0,512.99,1235.47,12.66
2014,213,10.89,399.09,1385.07,2.98
2014,214,37.61,386.08,1373.42,15.45
2014,215,0.0,466.72,1061.34,4.22
2014,216,0.0,1268.42,1240.98,0.28
2014,217,0.0,497.85,1380.2,6.53
2014,220,0.0,570.56,1381.82,5.77
2014,221,0.0,609.84,998.26,5.66
2014,222,23.79,607.21,1161.04,3.22
2014,223,33.07,583.55,1154.93,4.78
2014,224,0.0,497.79,968.35,6.13
2014,225,17.36,760.51,1247.46,6.45
2014,226,0.0,679.11,1205.24,8.96
2014,227,0.0,511.31,1152.85,5.01
2014,228,0.0,396.16,1190.2,4.15
2014,229,0.0,1067.72,1374.17,6.96
2014,230,6.85,422.31,1233.58,2.29
2014,231,42.74,747.16,1051.96,2.27
2014,234,19.19,528.94,1227.65,5.66
2014,235,0.0,510.0,1217.4,5.72
2014,236,14.64,765.21,1322.43,5.99
2014,237,12.36,790.06,2865.12,20.19
